Experiment	Sweeper	
Saved Date	28.05.2025 16:24:32	
User		
Date		
Start time	28.05.2025 16:07:32	
Sweep channel: Name	- None (Time) -	
Sweep channel: Start (V)	-Inf	
Sweep channel: Stop (V)	Inf	
Sweep channel: Points	20000	
Sweep channel: Max slew rate (V/s)	0E+0	
Sweep channel: Initial settling time (s)	20E+0	
Sweep channel: End settling time (s)	20E+0	
Sweep channel: Backward sweep	FALSE	
Sweep channel: Number of sweeps	1	
Sweep channel: Reset	FALSE	
Sweep Type	1D-Only SweepCh	
Acquire channels	Input 2 (V)	
Filter type	None	
Order		
Cutoff frq		
Comment01	b_P1_peak1_1741_3_top	

[DATA]
Points	Input 2 (V)
4.4800000E+2	-1.2137421E-1
4.4900000E+2	-1.1887554E-1
4.5000000E+2	-1.2165955E-1
4.5100000E+2	-1.1896453E-1
4.5200000E+2	-1.2094555E-1
4.5300000E+2	-1.2354205E-1
4.5400000E+2	-1.1675802E-1
4.5500000E+2	-1.1142116E-1
4.5600000E+2	-1.0733128E-1
4.5700000E+2	-1.1235959E-1
4.5800000E+2	-1.0551868E-1
4.5900000E+2	-1.0901131E-1
4.6000000E+2	-1.0527796E-1
4.6100000E+2	-1.1098299E-1
4.6200000E+2	-1.1210394E-1
4.6300000E+2	-1.1325508E-1
4.6400000E+2	-1.1197012E-1
4.6500000E+2	-1.1321620E-1
4.6600000E+2	-1.1955171E-1
4.6700000E+2	-1.1701698E-1
4.6800000E+2	-1.2240712E-1
4.6900000E+2	-1.1759468E-1
4.7000000E+2	-1.2017098E-1
4.7100000E+2	-1.1162449E-1
4.7200000E+2	-1.1236929E-1
4.7300000E+2	-1.0571560E-1
4.7400000E+2	-1.1127433E-1
4.7500000E+2	-1.0873830E-1
4.7600000E+2	-1.1329170E-1
4.7700000E+2	-1.1149228E-1
4.7800000E+2	-1.1160026E-1
4.7900000E+2	-1.1533542E-1
4.8000000E+2	-1.0848307E-1
4.8100000E+2	-1.1155160E-1
4.8200000E+2	-1.0967974E-1
4.8300000E+2	-1.1095980E-1
4.8400000E+2	-1.0552535E-1
4.8500000E+2	-1.0922491E-1
4.8600000E+2	-1.0831753E-1
4.8700000E+2	-1.1178159E-1
4.8800000E+2	-1.1033955E-1
4.8900000E+2	-1.0772232E-1
4.9000000E+2	-1.1131511E-1
4.9100000E+2	-1.0480322E-1
4.9200000E+2	-1.0937972E-1
4.9300000E+2	-1.0745973E-1
4.9400000E+2	-1.0975991E-1
4.9500000E+2	-1.1389058E-1
4.9600000E+2	-1.1702971E-1
4.9700000E+2	-1.1741552E-1
4.9800000E+2	-1.1296653E-1
4.9900000E+2	-1.1193265E-1
5.0000000E+2	-1.1239223E-1
5.0100000E+2	-1.1741444E-1
5.0200000E+2	-1.1383308E-1
5.0300000E+2	-1.1717040E-1
5.0400000E+2	-1.0842145E-1
5.0500000E+2	-1.0969575E-1
5.0600000E+2	-1.1492968E-1
5.0700000E+2	-1.1295348E-1
5.0800000E+2	-1.1223979E-1
5.0900000E+2	-1.1762902E-1
5.1000000E+2	-1.1956088E-1
5.1100000E+2	-1.1655314E-1
5.1200000E+2	-1.1175870E-1
5.1300000E+2	-1.0901895E-1
5.1400000E+2	-1.1454561E-1
5.1500000E+2	-1.1155975E-1
5.1600000E+2	-1.1451111E-1
